"grav_ordered";"grav_binary";"est_nuit";"est_heure_pointe";"jour_semaine";"est_weekend";"agg";"vma";"impl_vehicule_leger";"impl_poids_lourd";"impl_pieton"
"1";"0";"0";"0";"0";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"1";"4";"0";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"0";"1";"0"
"2";"1";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"1";"90";"0";"1";"0"
"1";"0";"0";"0";"0";"0";"1";"130";"0";"0";"0"
"2";"1";"0";"0";"6";"1";"1";"110";"0";"0";"0"
"1";"0";"1";"0";"3";"0";"1";"110";"0";"0";"0"
"1";"0";"0";"1";"0";"0";"1";"50";"0";"0";"0"
"1";"0";"0";"1";"0";"0";"1";"110";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"1";"110";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"110";"0";"1";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"1";"0";"0"
"2";"1";"0";"1";"0";"0";"1";"110";"1";"0";"0"
"1";"0";"1";"0";"5";"1";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"90";"0";"0";"0"
"1";"0";"0";"1";"4";"0";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"6";"1";"1";"70";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"5";"1";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"4";"0";"1";"70";"1";"0";"0"
"1";"0";"0";"1";"2";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"6";"1";"2";"70";"0";"0";"0"
"2";"1";"0";"1";"2";"0";"1";"80";"1";"0";"0"
"1";"0";"1";"0";"1";"0";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"1";"2";"0";"1";"130";"0";"1";"0"
"1";"0";"0";"0";"2";"0";"1";"130";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"130";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"80";"1";"0";"0"
"2";"1";"0";"0";"1";"0";"1";"90";"1";"0";"0"
"2";"1";"0";"1";"0";"0";"1";"80";"1";"0";"0"
"2";"1";"0";"1";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"30";"1";"0";"0"
"3";"1";"0";"0";"1";"0";"1";"80";"0";"1";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"1";"50";"1";"0";"0"
"2";"1";"0";"1";"2";"0";"2";"50";"1";"0";"1"
"2";"1";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"1";"80";"1";"0";"0"
"2";"1";"0";"0";"3";"0";"1";"70";"1";"0";"0"
"3";"1";"0";"1";"2";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"1";"70";"0";"0";"0"
"1";"0";"1";"0";"6";"1";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"70";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"90";"0";"1";"0"
"1";"0";"0";"1";"1";"0";"1";"90";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"1";"0";"0"
"3";"1";"1";"0";"6";"1";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"1";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"3";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"1";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"4";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"1";"0";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"3";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"5";"1";"2";"50";"0";"0";"1"
"1";"0";"1";"0";"4";"0";"1";"90";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"1"
"1";"0";"0";"0";"6";"1";"1";"110";"0";"0";"0"
"1";"0";"0";"1";"5";"1";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"4";"0";"1";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"5";"1";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"4";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"6";"1";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"30";"0";"0";"0"
"1";"0";"0";"1";"5";"1";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"30";"1";"0";"0"
"2";"1";"0";"0";"6";"1";"2";"30";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"2";"1";"1";"0";"5";"1";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"6";"1";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"6";"1";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"5";"1";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"1";"80";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"70";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"1";"0"
"1";"0";"1";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"30";"1";"0";"0"
"1";"0";"0";"1";"6";"1";"2";"50";"1";"0";"1"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"1"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"20";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"4";"0";"2";"50";"1";"1";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"20";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"1"
"2";"1";"1";"0";"6";"1";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"6";"1";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"6";"1";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"0";"0";"0"
"3";"1";"0";"0";"1";"0";"1";"70";"0";"1";"1"
"2";"1";"0";"0";"3";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"4";"0";"1";"70";"1";"0";"0"
"2";"1";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"1";"0";"1";"50";"0";"0";"0"
"2";"1";"0";"1";"1";"0";"1";"130";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"130";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"1";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"1";"80";"1";"1";"0"
"2";"1";"0";"0";"6";"1";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"1";"0";"0"
"3";"1";"0";"0";"0";"0";"1";"80";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"0";"0";"1";"80";"1";"0";"0"
"2";"1";"0";"0";"6";"1";"1";"80";"0";"0";"1"
"2";"1";"0";"0";"1";"0";"1";"80";"0";"1";"0"
"2";"1";"1";"0";"0";"0";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"110";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"0";"0";"0"
"3";"1";"0";"1";"3";"0";"2";"50";"1";"1";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"1";"0";"0"
"2";"1";"0";"0";"3";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"1";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"1"
"0";"0";"0";"1";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"4";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"3";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"2";"0";"2";"50";"1";"0";"0"
"0";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"3";"0";"2";"50";"1";"0";"0"
"0";"0";"0";"0";"6";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"5";"1";"2";"50";"0";"0";"0"
"0";"0";"0";"1";"3";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"0";"0";"0";"0";"2";"0";"2";"50";"0";"0";"0"
"2";"1";"1";"0";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"1";"5";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"2";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"5";"1";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"3";"0";"2";"50";"1";"1";"0"
"1";"0";"1";"0";"4";"0";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"3";"0";"2";"50";"0";"1";"0"
"1";"0";"0";"1";"4";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"0";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"2";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"0";"0";"2";"30";"0";"0";"1"
"2";"1";"0";"0";"3";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"4";"0";"2";"50";"1";"1";"0"
"1";"0";"0";"1";"4";"0";"2";"30";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"3";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"0";"3";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"3";"1";"1";"0";"2";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"2";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"1";"0";"3";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"4";"0";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"3";"0";"1";"70";"1";"0";"1"
"2";"1";"0";"0";"6";"1";"1";"80";"0";"0";"0"
"2";"1";"0";"0";"4";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"3";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"3";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"1";"3";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"1";"90";"0";"0";"0"
"2";"1";"0";"0";"3";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"1";"4";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"0";"3";"0";"1";"80";"0";"0";"0"
"2";"1";"1";"0";"0";"0";"1";"80";"0";"0";"0"
"3";"1";"1";"0";"5";"1";"1";"80";"0";"0";"0"
"2";"1";"1";"0";"5";"1";"1";"80";"0";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"2";"0";"1";"90";"0";"0";"0"
"2";"1";"0";"0";"6";"1";"1";"70";"0";"0";"0"
"1";"0";"0";"1";"5";"1";"1";"50";"1";"0";"0"
"1";"0";"0";"0";"5";"1";"1";"50";"1";"0";"0"
"3";"1";"0";"1";"0";"0";"2";"50";"0";"0";"0"
"2";"1";"1";"0";"6";"1";"2";"30";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"2";"30";"0";"0";"1"
"2";"1";"0";"1";"3";"0";"2";"50";"0";"0";"1"
"1";"0";"1";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"6";"1";"2";"50";"0";"1";"0"
"2";"1";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"3";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"1"
"1";"0";"1";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"1";"0";"5";"1";"1";"70";"0";"0";"0"
"3";"1";"1";"0";"6";"1";"1";"70";"0";"0";"0"
"1";"0";"0";"1";"6";"1";"2";"50";"1";"0";"1"
"0";"0";"0";"0";"6";"1";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"1";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"1";"4";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"0";"0";"1";"70";"0";"1";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"6";"1";"1";"50";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"3";"1";"1";"0";"6";"1";"1";"90";"0";"0";"0"
"1";"0";"1";"0";"2";"0";"2";"15";"1";"0";"0"
"2";"1";"0";"0";"3";"0";"2";"30";"0";"0";"1"
"2";"1";"0";"0";"4";"0";"1";"70";"0";"0";"0"
"1";"0";"1";"0";"3";"0";"1";"90";"0";"0";"0"
"1";"0";"1";"0";"2";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"30";"1";"0";"1"
"1";"0";"0";"1";"0";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"50";"0";"0";"0"
"1";"0";"1";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"2";"0";"2";"50";"1";"0";"0"
"3";"1";"1";"0";"0";"0";"2";"50";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"70";"0";"0";"0"
"2";"1";"0";"0";"5";"1";"2";"50";"0";"0";"1"
"2";"1";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"1";"0";"1"
"3";"1";"0";"0";"2";"0";"2";"30";"0";"0";"1"
"1";"0";"1";"0";"2";"0";"2";"30";"0";"0";"0"
"1";"0";"1";"0";"4";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"1";"6";"1";"1";"70";"1";"0";"0"
"1";"0";"0";"1";"3";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"30";"0";"0";"0"
"1";"0";"0";"1";"2";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"5";"1";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"4";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"4";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"1";"5";"1";"2";"50";"0";"1";"1"
"2";"1";"0";"0";"0";"0";"2";"20";"0";"1";"1"
"2";"1";"0";"0";"4";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"1";"0";"1"
"2";"1";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"0";"1";"0"
"1";"0";"0";"1";"1";"0";"2";"30";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"1"
"1";"0";"1";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"1";"1";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"1";"0";"0";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"30";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"1";"1";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"1";"0";"2";"70";"0";"1";"0"
"2";"1";"0";"1";"1";"0";"1";"80";"0";"0";"0"
"1";"0";"0";"1";"0";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"0";"6";"1";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"110";"0";"0";"0"
"2";"1";"0";"1";"1";"0";"1";"80";"1";"0";"0"
"2";"1";"0";"0";"1";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"1";"4";"0";"1";"80";"1";"0";"0"
"3";"1";"0";"1";"2";"0";"1";"80";"1";"0";"0"
"2";"1";"0";"0";"1";"0";"1";"80";"0";"1";"0"
"2";"1";"0";"0";"5";"1";"2";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"2";"50";"0";"0";"1"
"2";"1";"0";"1";"1";"0";"2";"80";"0";"0";"1"
"2";"1";"0";"0";"2";"0";"1";"70";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"1";"80";"0";"0";"0"
"3";"1";"0";"0";"2";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"0";"1";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"4";"0";"2";"30";"0";"0";"1"
"2";"1";"0";"1";"2";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"0";"1";"0";"1";"80";"0";"0";"0"
"2";"1";"0";"1";"2";"0";"1";"80";"1";"1";"0"
"2";"1";"0";"0";"1";"0";"1";"110";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"80";"0";"1";"0"
"1";"0";"0";"1";"6";"1";"1";"50";"1";"0";"0"
"1";"0";"0";"1";"1";"0";"1";"130";"0";"0";"0"
"1";"0";"0";"0";"2";"0";"1";"50";"1";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"110";"0";"1";"0"
"1";"0";"1";"0";"4";"0";"2";"50";"1";"0";"0"
"2";"1";"0";"0";"5";"1";"1";"80";"0";"0";"0"
"2";"1";"0";"0";"2";"0";"1";"80";"0";"0";"0"
"3";"1";"0";"1";"2";"0";"1";"80";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"3";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"1";"0";"0";"1";"90";"1";"0";"0"
"1";"0";"0";"0";"6";"1";"1";"90";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"1";"110";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"1";"110";"1";"0";"0"
"3";"1";"0";"0";"1";"0";"1";"90";"1";"1";"0"
"1";"0";"0";"0";"0";"0";"1";"110";"0";"0";"0"
"1";"0";"0";"0";"1";"0";"1";"130";"0";"0";"0"
"1";"0";"0";"1";"1";"0";"1";"90";"0";"0";"0"
"1";"0";"0";"0";"0";"0";"1";"90";"1";"0";"0"
"1";"0";"0";"0";"2";"0";"2";"30";"0";"0";"1"
"1";"0";"0";"0";"2";"0";"2";"50";"0";"0";"1"
"1";"0";"0";"1";"0";"0";"2";"70";"1";"0";"0"
"1";"0";"0";"0";"0";"0";"2";"50";"1";"0";"0"
